""	"protein"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"significant"	"mean_mouse"	"mean_naked mole rat"	"ngood_mouse"	"ngood_naked mole rat"
"146"	"B2RWS6;P45481"	-3.74849862732953	23.4051224811852	-7.96899695770523	0.00221984298228423	0.0150775897562337	-0.571679047928469	TRUE	24.6546220236283	20.9061233962988	2	1
"147"	"B2RX14"	NA	23.5943870547177	NA	NA	NA	NA	NA	23.5943870547177	NA	3	0
"148"	"B2RXC1"	1.12953369795328	25.4135105819683	2.68206060719653	0.0335545766660541	0.0931428766074949	-4.21009074698828	FALSE	24.8487437329917	25.978277430945	3	3
"149"	"B2RXC6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"150"	"B2RXC8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"151"	"B2RXQ2"	-1.57243619755451	25.5190131452228	-4.82374371327733	0.00231619414040973	0.0155859070098469	-1.36825526970762	TRUE	26.3052312440001	24.7327950464456	3	3
"152"	"B2RXQ2;Q8BSS9"	1.3442756521372	24.6291390330898	3.16751211748465	0.0172736097285729	0.0594111111508303	-3.51575947912383	FALSE	23.9570012070212	25.3012768591584	3	3
"153"	"B2RXR6"	-0.0506608247903373	24.3061852827375	-0.112800546393479	0.913575107391348	0.948412606978692	-6.96375689822845	FALSE	24.3315156951326	24.2808548703423	3	3
"154"	"B2RXS4"	0.000858201750226442	27.522139723516	0.00321453669695165	0.997531088927911	0.998679788938192	-6.97101608074405	FALSE	27.5217106226409	27.5225688243911	3	3
"155"	"B2RY04"	NA	26.4840025167974	NA	NA	NA	NA	NA	26.4840025167974	NA	3	0
"156"	"B2RY56"	-0.604563390639425	27.5888527332464	-2.54636121649129	0.0405942583509482	0.106293460936191	-4.40650291739043	FALSE	27.8911344285661	27.2865710379267	3	3
"157"	"B7ZMP1"	NA	25.366649267309	NA	NA	NA	NA	NA	25.366649267309	NA	3	0
"158"	"B7ZNL8"	NA	27.2565691298934	NA	NA	NA	NA	NA	27.2565691298934	NA	3	0
"159"	"B8JK39"	0.0971832528196532	24.5618457642228	0.268438815046655	0.800139639886435	0.86976919594557	-6.72738144336358	FALSE	24.5132541378129	24.6104373906326	2	2
"160"	"B8ZXI1"	NA	25.7080574339523	NA	NA	NA	NA	NA	NA	25.7080574339523	0	3
"161"	"B9EJ80"	-2.63670167512645	25.715991145018	-7.1031540799826	0.0012753194744118	0.0111996237480163	-0.205870380287609	TRUE	26.3751665637996	23.7384648886731	3	1
"162"	"B9EJ86"	-0.101708417560581	24.2740194012357	-0.168354961492897	0.873551719372162	0.920802001329549	-6.61180096455964	FALSE	24.2994465056259	24.1977380880653	3	1
"163"	"B9EJR8"	NA	24.7275777502912	NA	NA	NA	NA	NA	24.7275777502912	NA	2	0
"164"	"B9EKI3"	NA	24.8648100500443	NA	NA	NA	NA	NA	24.8648100500443	NA	2	0
"165"	"C0HK80;C0HK79"	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0
"166"	"C0HKD9;C0HKD8"	-0.805522959573829	26.5725192028041	-1.53706980401579	0.179285947427467	0.301491687995048	-5.71403570127006	FALSE	27.0558329785484	26.2503100189746	2	3
